,Title,Phone,Website,Street Address,City,State,Zip,County,Specialty,Language Line Interpretation Services Available,Accepting New Clients,ADA Compliant,Telecommunication Device for the Deaf (TDD) equipment,Blocks from public tranportation,Miles from public tranportation,Spanish,Vietnamese,Tagalog,MandarinChinese,AmericanSignLanguage,YueChinese,Russian,Korean,Persian,Chinese,Armenian,Japanese,Arabic,Khmer,Hmong,Italian,Samoan,Ukrainian,Portuguese,Panjabi,Serves Children,Serves Adults,Open Hours
0,CAMINAR COLMA RIDGE, (650) 994-3582,http://www.caminar.org,85 REINER STREET,DALY CITY,CA,94014,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Good,Good,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
1,CAMINAR EUCALYPTUS HOUSE, (650) 994-7110,http://www.caminar.org,2 EDGEWOOD COURT,DALY CITY,CA,94014,San Mateo,"Community/Behavioral Health Agency, Non-Individual - Residential Treatment Facilities",Yes,Yes,1,0,5,,Good,,Good,Good,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
2,CAMINAR HAWTHORNE HOUSE, (650) 368-2383,http://www.caminar.org,251 JACKSON AVENUE,REDWOOD CITY,CA,94061,San Mateo,"Community/Behavioral Health Agency, Non-Individual - Residential Treatment Facilities",Yes,Yes,1,0,5,,Good,,Good,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
3,CAMINAR REDWOOD HOUSE, (650) 839-1076,http://www.caminar.org,248 REDWOOD AVENUE,REDWOOD CITY,CA,94061,San Mateo,"Mental Illness Community Based Residential Treatment Facility, Non-Individual - Residential Treatment Facilities",Yes,Yes,1,0,5,,Good,,Good,,Good,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
4,CAMINAR YAIL, (650) 367-9610,http://www.caminar.org,37 CLINTON STREET,REDWOOD CITY,CA,94062,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 09:00 AM to 05:00 PM
5,CAMINAR-NEW VENTURES, (650) 372-4080,http://www.caminar.org,2600 S. EL CAMINO REAL 2nd FLOOR,SAN MATEO,CA,94403,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
6,CAMINAR-REACH, (650) 373-0777,http://www.caminar.org,2600 S. EL CAMINO REAL 1st FLOOR,SAN MATEO,CA,94403,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Good,,Good,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 09:00 AM to 04:00 PM
7,ONE LIFE COUNSELING CENTER, (415) 254-6430,http://www.onelifecounselingcenter.com,1303 SAN CARLOS AVENUE,SAN CARLOS,CA,94070,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",No,Yes,1,0,1,,Good,,Good,Good,,Good,Good,Good,,,,,,,,,,,,,1,1,Monday through Sunday 09:00 AM to 09:00 PM
8,PSYNERGY - GREENFIELD, (408) 465-8280,https://psynergy.org/,215 HUERTA AVENUE,GREENFIELD,CA,93927,Monterey,"Multi-Specialty Group, Individuals or Groups (of Individuals)",No,Yes,1,0,5,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
9,PSYNERGY MORGAN HILL, (408) 465-8280,https://psynergy.org/,18217 HALE AVENUE,MORGAN HILL,CA,95037,Santa Clara,"Multi-Specialty Group, Individuals or Groups (of Individuals)",No,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 09:00 AM to 05:00 PM
10,PSYNERGY SACRAMENTO, (650) 999-9999,https://psynergy.org/,4612 ROOSEVELT AVENUE,SACRAMENTO,CA,95820,Sacramento,"Multi-Specialty Group, Individuals or Groups (of Individuals)",No,Yes,1,0,,1,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 07:00 AM to 07:00 PM
11,PSYNERGY SACRAMENTO CLINIC B, (916) 476-3084,https://psynergy.org/,4616 ROOSEVELT AVENUE,SACRAMENTO,CA,95820,Sacramento,"Multi-Specialty Group, Individuals or Groups (of Individuals)",No,Yes,1,0,,1,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
12,ALAMEDA DE LAS PULGAS CLINIC, (650) 372-3210,https://www.smchealth.org/,2000 ALAMEDA DE LAS PULGAS,SAN MATEO,CA,94403,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Yes,Yes,1,1,1,,Fluent,,Good,Fluent,Fluent,Fluent,,Good,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
13,BADEN THERAPEUTIC DAY SCHOOL, (650) 877-8795,https://www.smchealth.org/,825 SOUTHWOOOD DRIVE,SOUTH SAN FRANCISCO,CA,94080,San Mateo,"Adolescent and Children Mental Health Clinic/Center, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,,,,,,,,,,,,,,,,,,,,1,0,Monday through Friday 08:00 AM to 03:00 PM
14,CANYON OAKS YOUTH CENTER, (650) 839-1810,https://www.smchealth.org/,400 EDMONDS ROAD,REDWOOD CITY,CA,94062,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,,,,,,Good,,,,,,,,,,,,,,1,0,Monday through Sunday 12:00 AM to 11:59 PM
