Title,Phone,Website,Street Address,City,State,Zip,County,Specialty,Hours,Accommodations,Telehealth Offered,Languages/Cultural Capabilities,Language Line Interpretation Services Available,Accepting New Clients
CAMINAR COLMA RIDGE, (650) 994-3582,http://www.caminar.org,85 REINER STREET,DALY CITY,CA,94014,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Vietnamese:Good,Yes,Yes
CAMINAR EUCALYPTUS HOUSE, (650) 994-7110,http://www.caminar.org,2 EDGEWOOD COURT,DALY CITY,CA,94014,San Mateo,"Community/Behavioral Health Agency, Non-Individual - Residential Treatment Facilities",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Tagalog:Good;MandarinChinese:Good,Yes,Yes
CAMINAR HAWTHORNE HOUSE, (650) 368-2383,http://www.caminar.org,251 JACKSON AVENUE,REDWOOD CITY,CA,94061,San Mateo,"Community/Behavioral Health Agency, Non-Individual - Residential Treatment Facilities",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Tagalog:Good,Yes,Yes
CAMINAR REDWOOD HOUSE, (650) 839-1076,http://www.caminar.org,248 REDWOOD AVENUE,REDWOOD CITY,CA,94061,San Mateo,"Mental Illness Community Based Residential Treatment Facility, Non-Individual - Residential Treatment Facilities",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Tagalog:Good;AmericanSignLanguage:Good,Yes,Yes
CAMINAR YAIL, (650) 367-9610,http://www.caminar.org,37 CLINTON STREET,REDWOOD CITY,CA,94062,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,Yes,Yes
CAMINAR-NEW VENTURES, (650) 372-4080,http://www.caminar.org,2600 S. EL CAMINO REAL 2nd FLOOR,SAN MATEO,CA,94403,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,Yes,Yes
CAMINAR-REACH, (650) 373-0777,http://www.caminar.org,2600 S. EL CAMINO REAL 1st FLOOR,SAN MATEO,CA,94403,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 04:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Tagalog:Good;Spanish:Good,Yes,Yes
ONE LIFE COUNSELING CENTER, (415) 254-6430,http://www.onelifecounselingcenter.com,1303 SAN CARLOS AVENUE,SAN CARLOS,CA,94070,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Sunday 09:00 AM to 09:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Tagalog:Good;YueChinese:Good;Russian:Good;MandarinChinese:Good;Korean:Good,No,Yes
PSYNERGY - GREENFIELD, (408) 465-8280,https://psynergy.org/,215 HUERTA AVENUE,GREENFIELD,CA,93927,Monterey,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,No,Yes
PSYNERGY MORGAN HILL, (408) 465-8280,https://psynergy.org/,18217 HALE AVENUE,MORGAN HILL,CA,95037,Santa Clara,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,No,Yes
